@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
53,6098,2,21762,51,0.997662,0.999672,0.21888,0.999672,0.78112,0.359128,0.998101,1.001574,0.003843
54,6098,2,21761,52,0.997616,0.999672,0.218888,0.999672,0.781112,0.359139,0.998065,1.00161,0.003986
55,6098,2,21760,53,0.99757,0.999672,0.218896,0.999672,0.781104,0.35915,0.99803,1.001646,0.004149
56,6098,2,21759,54,0.997524,0.999672,0.218904,0.999672,0.781096,0.35916,0.997994,1.001682,0.004216
57,6098,2,21758,55,0.997479,0.999672,0.218912,0.999672,0.781088,0.359171,0.997958,1.001718,0.004371
58,6098,2,21757,56,0.997433,0.999672,0.218919,0.999672,0.781081,0.359181,0.997922,1.001754,0.004428
59,6098,2,21756,57,0.997387,0.999672,0.218927,0.999672,0.781073,0.359192,0.997886,1.00179,0.00451
60,6098,2,21755,58,0.997341,0.999672,0.218935,0.999672,0.781065,0.359202,0.99785,1.001826,0.00456
61,6098,2,21754,59,0.997295,0.999672,0.218943,0.999672,0.781057,0.359213,0.997815,1.001862,0.004567
62,6098,2,21753,60,0.997249,0.999672,0.218951,0.999672,0.781049,0.359224,0.997779,1.001898,0.004569
63,6098,2,21752,61,0.997204,0.999672,0.218959,0.999672,0.781041,0.359234,0.997743,1.001934,0.004644
64,6098,2,21751,62,0.997158,0.999672,0.218967,0.999672,0.781033,0.359245,0.997707,1.001969,0.004752
65,6098,2,21750,63,0.997112,0.999672,0.218974,0.999672,0.781026,0.359255,0.997671,1.002005,0.004777
66,6098,2,21749,64,0.997066,0.999672,0.218982,0.999672,0.781018,0.359266,0.997636,1.002041,0.004793
67,6098,2,21748,65,0.99702,0.999672,0.21899,0.999672,0.78101,0.359276,0.9976,1.002077,0.004857
68,6098,2,21747,66,0.996974,0.999672,0.218998,0.999672,0.781002,0.359287,0.997564,1.002113,0.004862
69,6098,2,21746,67,0.996928,0.999672,0.219006,0.999672,0.780994,0.359298,0.997528,1.002149,0.004863
70,6098,2,21745,68,0.996883,0.999672,0.219014,0.999672,0.780986,0.359308,0.997492,1.002185,0.004865
71,6098,2,21744,69,0.996837,0.999672,0.219022,0.999672,0.780978,0.359319,0.997456,1.002221,0.004948
72,6098,2,21743,70,0.996791,0.999672,0.219029,0.999672,0.780971,0.359329,0.997421,1.002257,0.005025
73,6098,2,21742,71,0.996745,0.999672,0.219037,0.999672,0.780963,0.35934,0.997385,1.002293,0.005113
74,6098,2,21741,72,0.996699,0.999672,0.219045,0.999672,0.780955,0.359351,0.997349,1.002329,0.005144
75,6098,2,21740,73,0.996653,0.999672,0.219053,0.999672,0.780947,0.359361,0.997313,1.002365,0.005184
76,6098,2,21739,74,0.996608,0.999672,0.219061,0.999672,0.780939,0.359372,0.997277,1.002401,0.005285
77,6098,2,21738,75,0.996562,0.999672,0.219069,0.999672,0.780931,0.359382,0.997241,1.002437,0.005286
78,6098,2,21737,76,0.996516,0.999672,0.219077,0.999672,0.780923,0.359393,0.997206,1.002473,0.005306
79,6097,3,21737,76,0.996516,0.999508,0.219049,0.999508,0.780951,0.359345,0.99717,1.002345,0.005311
80,6097,3,21736,77,0.99647,0.999508,0.219057,0.999508,0.780943,0.359355,0.997134,1.002381,0.005348
81,6097,3,21735,78,0.996424,0.999508,0.219064,0.999508,0.780936,0.359366,0.997098,1.002417,0.005387
82,6097,3,21734,79,0.996378,0.999508,0.219072,0.999508,0.780928,0.359376,0.997062,1.002453,0.005424
