@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
52,7873,86,19346,608,0.96953,0.989195,0.289246,0.989195,0.710754,0.447609,0.975137,1.014416,0.001909
53,7873,86,19345,609,0.96948,0.989195,0.289257,0.989195,0.710743,0.447622,0.975101,1.014453,0.002
54,7872,87,19343,611,0.96938,0.989069,0.289252,0.989069,0.710748,0.447603,0.974994,1.014436,0.002025
55,7872,87,19342,612,0.969329,0.989069,0.289263,0.989069,0.710737,0.447616,0.974958,1.014474,0.002069
56,7871,88,19342,612,0.969329,0.988943,0.289237,0.988943,0.710763,0.447572,0.974922,1.014382,0.002105
57,7871,88,19341,613,0.969279,0.988943,0.289247,0.988943,0.710753,0.447585,0.974886,1.014419,0.00214
58,7871,88,19340,614,0.969229,0.988943,0.289258,0.988943,0.710742,0.447597,0.97485,1.014456,0.002157
59,7871,88,19338,616,0.969129,0.988943,0.289279,0.988943,0.710721,0.447623,0.974779,1.014531,0.002163
60,7871,88,19337,617,0.969079,0.988943,0.28929,0.988943,0.71071,0.447636,0.974743,1.014568,0.002167
61,7871,88,19336,618,0.969029,0.988943,0.289301,0.988943,0.710699,0.447648,0.974707,1.014606,0.002203
62,7871,88,19335,619,0.968979,0.988943,0.289311,0.988943,0.710689,0.447661,0.974671,1.014643,0.002207
63,7871,88,19334,620,0.968929,0.988943,0.289322,0.988943,0.710678,0.447674,0.974635,1.01468,0.002211
64,7871,88,19333,621,0.968878,0.988943,0.289332,0.988943,0.710668,0.447686,0.9746,1.014718,0.002222
65,7871,88,19331,623,0.968778,0.988943,0.289354,0.988943,0.710646,0.447712,0.974528,1.014792,0.002273
66,7870,89,19331,623,0.968778,0.988818,0.289328,0.988818,0.710672,0.447668,0.974492,1.0147,0.002273
67,7870,89,19330,624,0.968728,0.988818,0.289338,0.988818,0.710662,0.447681,0.974456,1.014738,0.002288
68,7870,89,19329,625,0.968678,0.988818,0.289349,0.988818,0.710651,0.447693,0.974421,1.014775,0.002292
69,7870,89,19328,626,0.968628,0.988818,0.28936,0.988818,0.71064,0.447706,0.974385,1.014812,0.002295
70,7870,89,19326,628,0.968528,0.988818,0.289381,0.988818,0.710619,0.447731,0.974313,1.014887,0.002333
71,7870,89,19325,629,0.968477,0.988818,0.289391,0.988818,0.710609,0.447744,0.974277,1.014924,0.002338
72,7870,89,19324,630,0.968427,0.988818,0.289402,0.988818,0.710598,0.447757,0.974241,1.014962,0.002342
73,7870,89,19323,631,0.968377,0.988818,0.289413,0.988818,0.710587,0.44777,0.974206,1.014999,0.002364
74,7870,89,19322,632,0.968327,0.988818,0.289423,0.988818,0.710577,0.447782,0.97417,1.015036,0.002381
75,7870,89,19321,633,0.968277,0.988818,0.289434,0.988818,0.710566,0.447795,0.974134,1.015074,0.0024
76,7870,89,19320,634,0.968227,0.988818,0.289445,0.988818,0.710555,0.447808,0.974098,1.015111,0.002406
77,7870,89,19319,635,0.968177,0.988818,0.289455,0.988818,0.710545,0.447821,0.974062,1.015148,0.002424
78,7869,90,19319,635,0.968177,0.988692,0.289429,0.988692,0.710571,0.447776,0.974026,1.015057,0.002462
