@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
52,13800,54,13911,148,0.989473,0.996102,0.497997,0.996102,0.502003,0.66402,0.992763,1.003363,0.006857
53,13800,54,13910,149,0.989402,0.996102,0.498015,0.996102,0.501985,0.664036,0.992727,1.0034,0.007143
54,13799,55,13910,149,0.989402,0.99603,0.497997,0.99603,0.502003,0.664004,0.992692,1.003363,0.007369
55,13799,55,13909,150,0.989331,0.99603,0.498015,0.99603,0.501985,0.66402,0.992656,1.003399,0.0075
56,13799,55,13908,151,0.98926,0.99603,0.498033,0.99603,0.501967,0.664036,0.99262,1.003435,0.007622
57,13798,56,13907,152,0.989188,0.995958,0.498033,0.995958,0.501967,0.66402,0.992548,1.003435,0.007667
58,13798,56,13906,153,0.989117,0.995958,0.498051,0.995958,0.501949,0.664036,0.992512,1.003471,0.007857
59,13798,56,13905,154,0.989046,0.995958,0.498069,0.995958,0.501931,0.664052,0.992477,1.003508,0.007857
60,13798,56,13904,155,0.988975,0.995958,0.498087,0.995958,0.501913,0.664068,0.992441,1.003544,0.007929
61,13798,56,13903,156,0.988904,0.995958,0.498105,0.995958,0.501895,0.664084,0.992405,1.00358,0.008206
62,13798,56,13902,157,0.988833,0.995958,0.498123,0.995958,0.501877,0.6641,0.992369,1.003616,0.00825
63,13798,56,13901,158,0.988762,0.995958,0.498141,0.995958,0.501859,0.664116,0.992333,1.003653,0.008286
64,13798,56,13900,159,0.988691,0.995958,0.498159,0.995958,0.501841,0.664132,0.992297,1.003689,0.008333
65,13798,56,13899,160,0.988619,0.995958,0.498177,0.995958,0.501823,0.664148,0.992262,1.003725,0.0085
66,13798,56,13898,161,0.988548,0.995958,0.498195,0.995958,0.501805,0.664164,0.992226,1.003761,0.008526
67,13798,56,13896,163,0.988406,0.995958,0.498231,0.995958,0.501769,0.664196,0.992154,1.003834,0.00855
68,13798,56,13895,164,0.988335,0.995958,0.498249,0.995958,0.501751,0.664212,0.992118,1.00387,0.008636
69,13798,56,13894,165,0.988264,0.995958,0.498267,0.995958,0.501733,0.664228,0.992083,1.003906,0.008833
70,13798,56,13893,166,0.988193,0.995958,0.498285,0.995958,0.501715,0.664244,0.992047,1.003942,0.008853
71,13798,56,13891,168,0.98805,0.995958,0.498321,0.995958,0.501679,0.664276,0.991975,1.004015,0.008889
72,13797,57,13891,168,0.98805,0.995886,0.498303,0.995886,0.501697,0.664243,0.991939,1.003978,0.008936
73,13796,58,13891,168,0.98805,0.995813,0.498284,0.995813,0.501716,0.664211,0.991903,1.003942,0.009202
74,13795,59,13891,168,0.98805,0.995741,0.498266,0.995741,0.501734,0.664179,0.991868,1.003905,0.009279
75,13794,60,13891,168,0.98805,0.995669,0.498248,0.995669,0.501752,0.664147,0.991832,1.003869,0.009333
76,13794,60,13890,169,0.987979,0.995669,0.498266,0.995669,0.501734,0.664163,0.991796,1.003905,0.009444
77,13794,60,13889,170,0.987908,0.995669,0.498284,0.995669,0.501716,0.664179,0.99176,1.003941,0.009444
78,13794,60,13888,171,0.987837,0.995669,0.498302,0.995669,0.501698,0.664195,0.991724,1.003978,0.009659
79,13794,60,13887,172,0.987766,0.995669,0.49832,0.995669,0.50168,0.664211,0.991688,1.004014,0.009716
80,13793,61,13887,172,0.987766,0.995597,0.498302,0.995597,0.501698,0.664179,0.991653,1.003978,0.009798
81,13793,61,13885,174,0.987624,0.995597,0.498338,0.995597,0.501662,0.664211,0.991581,1.00405,0.01
82,13792,62,13885,174,0.987624,0.995525,0.49832,0.995525,0.50168,0.664179,0.991545,1.004014,0.01
83,13787,67,13864,195,0.98613,0.995164,0.498608,0.995164,0.501392,0.664354,0.990614,1.004593,0.01
84,13787,67,13862,197,0.985988,0.995164,0.498644,0.995164,0.501356,0.664386,0.990542,1.004666,0.01
85,13787,67,13860,199,0.985845,0.995164,0.49868,0.995164,0.50132,0.664418,0.99047,1.004739,0.01
86,13787,67,13859,200,0.985774,0.995164,0.498698,0.995164,0.501302,0.664434,0.990435,1.004775,0.010082
87,13787,67,13858,201,0.985703,0.995164,0.498716,0.995164,0.501284,0.66445,0.990399,1.004811,0.010303
88,13787,67,13857,202,0.985632,0.995164,0.498734,0.995164,0.501266,0.664466,0.990363,1.004848,0.010324
89,13787,67,13856,203,0.985561,0.995164,0.498752,0.995164,0.501248,0.664482,0.990327,1.004884,0.010417
90,13787,67,13854,205,0.985419,0.995164,0.498788,0.995164,0.501212,0.664514,0.990255,1.004957,0.010646
91,13787,67,13853,206,0.985347,0.995164,0.498806,0.995164,0.501194,0.66453,0.99022,1.004993,0.010679
92,13787,67,13852,207,0.985276,0.995164,0.498824,0.995164,0.501176,0.664546,0.990184,1.005029,0.010889
93,13787,67,13850,209,0.985134,0.995164,0.49886,0.995164,0.50114,0.664578,0.990112,1.005102,0.010909
94,13787,67,13849,210,0.985063,0.995164,0.498878,0.995164,0.501122,0.664594,0.990076,1.005139,0.010983
95,13786,68,13849,210,0.985063,0.995092,0.49886,0.995092,0.50114,0.664562,0.99004,1.005102,0.011111
96,13785,69,13849,210,0.985063,0.995019,0.498842,0.995019,0.501158,0.66453,0.990005,1.005065,0.01127
97,13785,69,13848,211,0.984992,0.995019,0.49886,0.995019,0.50114,0.664546,0.989969,1.005102,0.011587
98,13785,69,13846,213,0.98485,0.995019,0.498896,0.995019,0.501104,0.664578,0.989897,1.005175,0.011667
99,13784,70,13846,213,0.98485,0.994947,0.498878,0.994947,0.501122,0.664545,0.989861,1.005138,0.011737
100,13783,71,13846,213,0.98485,0.994875,0.49886,0.994875,0.50114,0.664513,0.989826,1.005102,0.011897
101,13783,71,13845,214,0.984778,0.994875,0.498878,0.994875,0.501122,0.664529,0.98979,1.005138,0.012
102,13782,72,13844,215,0.984707,0.994803,0.498878,0.994803,0.501122,0.664513,0.989718,1.005138,0.012143
103,13781,73,13844,215,0.984707,0.994731,0.49886,0.994731,0.50114,0.664481,0.989682,1.005101,0.012167
104,13781,73,13843,216,0.984636,0.994731,0.498878,0.994731,0.501122,0.664497,0.989646,1.005138,0.012212
105,13781,73,13842,217,0.984565,0.994731,0.498896,0.994731,0.501104,0.664513,0.989611,1.005174,0.012262
106,13781,73,13841,218,0.984494,0.994731,0.498914,0.994731,0.501086,0.664529,0.989575,1.00521,0.012306
107,13781,73,13840,219,0.984423,0.994731,0.498932,0.994731,0.501068,0.664545,0.989539,1.005247,0.012306
108,13781,73,13839,220,0.984352,0.994731,0.49895,0.994731,0.50105,0.664561,0.989503,1.005283,0.0125
109,13781,73,13838,221,0.984281,0.994731,0.498968,0.994731,0.501032,0.664577,0.989467,1.00532,0.012593
110,13781,73,13837,222,0.984209,0.994731,0.498986,0.994731,0.501014,0.664593,0.989431,1.005356,0.012668
111,13781,73,13836,223,0.984138,0.994731,0.499004,0.994731,0.500996,0.664609,0.989396,1.005392,0.012778
