Instance_number,'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
0,6100,0,21813,0,1,1,0.218536,1,0.781464,0.358686,1,1,0
1,6002,98,20860,953,0.95631,0.983934,0.223438,0.983934,0.776562,0.364177,0.962347,1.022432,0.000145
2,6002,98,20859,954,0.956265,0.983934,0.223447,0.983934,0.776553,0.364188,0.962311,1.02247,0.000169
3,6002,98,20858,955,0.956219,0.983934,0.223455,0.983934,0.776545,0.364199,0.962276,1.022508,0.000282
4,6002,98,20857,956,0.956173,0.983934,0.223463,0.983934,0.776537,0.36421,0.96224,1.022546,0.000333
5,6002,98,20856,957,0.956127,0.983934,0.223472,0.983934,0.776528,0.364221,0.962204,1.022584,0.000333
6,6002,98,20855,958,0.956081,0.983934,0.22348,0.983934,0.77652,0.364232,0.962168,1.022622,0.000426
7,6002,98,20854,959,0.956035,0.983934,0.223488,0.983934,0.776512,0.364243,0.962132,1.02266,0.000429
8,6002,98,20852,961,0.955944,0.983934,0.223505,0.983934,0.776495,0.364265,0.962061,1.022736,0.000435
9,6002,98,20850,963,0.955852,0.983934,0.223522,0.983934,0.776478,0.364287,0.961989,1.022813,0.000435
10,6002,98,20849,964,0.955806,0.983934,0.22353,0.983934,0.77647,0.364299,0.961953,1.022851,0.000476
11,6002,98,20848,965,0.95576,0.983934,0.223538,0.983934,0.776462,0.36431,0.961917,1.022889,0.000476
12,6002,98,20847,966,0.955714,0.983934,0.223547,0.983934,0.776453,0.364321,0.961882,1.022927,0.000488
13,6002,98,20845,968,0.955623,0.983934,0.223563,0.983934,0.776437,0.364343,0.96181,1.023003,0.0005
14,6002,98,20844,969,0.955577,0.983934,0.223571,0.983934,0.776429,0.364354,0.961774,1.023041,0.0005
15,6002,98,20841,972,0.955439,0.983934,0.223596,0.983934,0.776404,0.364387,0.961667,1.023155,0.000521
16,6002,98,20840,973,0.955394,0.983934,0.223605,0.983934,0.776395,0.364398,0.961631,1.023194,0.000556
17,6002,98,20837,976,0.955256,0.983934,0.22363,0.983934,0.77637,0.364431,0.961523,1.023308,0.000606
18,6002,98,20836,977,0.95521,0.983934,0.223638,0.983934,0.776362,0.364442,0.961487,1.023346,0.000617
19,6002,98,20835,978,0.955164,0.983934,0.223646,0.983934,0.776354,0.364453,0.961452,1.023384,0.000625
20,6002,98,20834,979,0.955119,0.983934,0.223655,0.983934,0.776345,0.364464,0.961416,1.023422,0.000625
21,6002,98,20832,981,0.955027,0.983934,0.223671,0.983934,0.776329,0.364487,0.961344,1.023499,0.000648
22,6002,98,20830,983,0.954935,0.983934,0.223688,0.983934,0.776312,0.364509,0.961273,1.023575,0.000656
23,6002,98,20829,984,0.954889,0.983934,0.223696,0.983934,0.776304,0.36452,0.961237,1.023613,0.000673
24,6002,98,20828,985,0.954843,0.983934,0.223705,0.983934,0.776295,0.364531,0.961201,1.023651,0.00069
25,6002,98,20826,987,0.954752,0.983934,0.223721,0.983934,0.776279,0.364553,0.961129,1.023728,0.000698
26,6002,98,20824,989,0.95466,0.983934,0.223738,0.983934,0.776262,0.364575,0.961058,1.023804,0.000714
27,6002,98,20823,990,0.954614,0.983934,0.223747,0.983934,0.776253,0.364586,0.961022,1.023842,0.000714
28,6001,99,20822,991,0.954568,0.98377,0.223726,0.98377,0.776274,0.364548,0.96095,1.023748,0.00075
29,6001,99,20821,992,0.954523,0.98377,0.223734,0.98377,0.776266,0.364559,0.960914,1.023786,0.000769
30,6001,99,20819,994,0.954431,0.98377,0.223751,0.98377,0.776249,0.364581,0.960843,1.023862,0.0008
31,6000,100,20819,994,0.954431,0.983607,0.223722,0.983607,0.776278,0.364531,0.960807,1.02373,0.000806
32,6000,100,20818,995,0.954385,0.983607,0.22373,0.983607,0.77627,0.364542,0.960771,1.023768,0.000806
33,6000,100,20817,996,0.954339,0.983607,0.223739,0.983607,0.776261,0.364553,0.960735,1.023806,0.000813
34,6000,100,20816,997,0.954293,0.983607,0.223747,0.983607,0.776253,0.364564,0.960699,1.023844,0.000819
35,6000,100,20815,998,0.954247,0.983607,0.223755,0.983607,0.776245,0.364575,0.960663,1.023883,0.000833
36,6000,100,20814,999,0.954202,0.983607,0.223764,0.983607,0.776236,0.364586,0.960628,1.023921,0.000833
37,6000,100,20813,1000,0.954156,0.983607,0.223772,0.983607,0.776228,0.364598,0.960592,1.023959,0.000876
38,6000,100,20812,1001,0.95411,0.983607,0.22378,0.983607,0.77622,0.364609,0.960556,1.023997,0.00088
39,6000,100,20811,1002,0.954064,0.983607,0.223789,0.983607,0.776211,0.36462,0.96052,1.024035,0.000882
40,5999,101,20810,1003,0.954018,0.983443,0.223768,0.983443,0.776232,0.364581,0.960449,1.023941,0.000889
41,5999,101,20808,1005,0.953927,0.983443,0.223785,0.983443,0.776215,0.364603,0.960377,1.024017,0.000909
42,5999,101,20807,1006,0.953881,0.983443,0.223793,0.983443,0.776207,0.364614,0.960341,1.024056,0.000909
43,5999,101,20805,1008,0.953789,0.983443,0.22381,0.983443,0.77619,0.364637,0.960269,1.024132,0.000909
44,5999,101,20804,1009,0.953743,0.983443,0.223818,0.983443,0.776182,0.364648,0.960234,1.02417,0.000952
45,5999,101,20802,1011,0.953651,0.983443,0.223835,0.983443,0.776165,0.36467,0.960162,1.024247,0.001
46,5999,101,20801,1012,0.953606,0.983443,0.223843,0.983443,0.776157,0.364681,0.960126,1.024285,0.00101
47,5999,101,20800,1013,0.95356,0.983443,0.223852,0.983443,0.776148,0.364692,0.96009,1.024323,0.001111
48,5999,101,20799,1014,0.953514,0.983443,0.22386,0.983443,0.77614,0.364703,0.960054,1.024361,0.001125
49,5999,101,20797,1016,0.953422,0.983443,0.223877,0.983443,0.776123,0.364725,0.959983,1.024438,0.001154
50,5999,101,20796,1017,0.953376,0.983443,0.223885,0.983443,0.776115,0.364736,0.959947,1.024476,0.001156
51,5998,102,20796,1017,0.953376,0.983279,0.223856,0.983279,0.776144,0.364687,0.959911,1.024343,0.001167
52,5997,103,20796,1017,0.953376,0.983115,0.223827,0.983115,0.776173,0.364637,0.959875,1.024211,0.001176
53,5997,103,20795,1018,0.953331,0.983115,0.223835,0.983115,0.776165,0.364648,0.95984,1.024249,0.0012
54,5996,104,20795,1018,0.953331,0.982951,0.223807,0.982951,0.776193,0.364598,0.959804,1.024117,0.001245
55,5996,104,20794,1019,0.953285,0.982951,0.223815,0.982951,0.776185,0.364609,0.959768,1.024155,0.00125
56,5995,105,20794,1019,0.953285,0.982787,0.223786,0.982787,0.776214,0.36456,0.959732,1.024022,0.00125
57,5995,105,20793,1020,0.953239,0.982787,0.223794,0.982787,0.776206,0.364571,0.959696,1.02406,0.00129
58,5995,105,20792,1021,0.953193,0.982787,0.223803,0.982787,0.776197,0.364582,0.95966,1.024099,0.00129
59,5994,106,20792,1021,0.953193,0.982623,0.223774,0.982623,0.776226,0.364532,0.959625,1.023966,0.001304
60,5993,107,20792,1021,0.953193,0.982459,0.223745,0.982459,0.776255,0.364482,0.959589,1.023833,0.001325
61,5993,107,20791,1022,0.953147,0.982459,0.223753,0.982459,0.776247,0.364493,0.959553,1.023872,0.001333
62,5993,107,20790,1023,0.953101,0.982459,0.223761,0.982459,0.776239,0.364504,0.959517,1.02391,0.001336
63,5993,107,20789,1024,0.953056,0.982459,0.22377,0.982459,0.77623,0.364516,0.959481,1.023948,0.00137
64,5993,107,20788,1025,0.95301,0.982459,0.223778,0.982459,0.776222,0.364527,0.959445,1.023986,0.001413
65,5993,107,20787,1026,0.952964,0.982459,0.223786,0.982459,0.776214,0.364538,0.95941,1.024025,0.001423
66,5993,107,20786,1027,0.952918,0.982459,0.223795,0.982459,0.776205,0.364549,0.959374,1.024063,0.001429
67,5993,107,20783,1030,0.95278,0.982459,0.22382,0.982459,0.77618,0.364582,0.959266,1.024178,0.001429
68,5993,107,20782,1031,0.952735,0.982459,0.223828,0.982459,0.776172,0.364593,0.95923,1.024216,0.001465
69,5992,108,20781,1032,0.952689,0.982295,0.223808,0.982295,0.776192,0.364554,0.959159,1.024121,0.001481
70,5992,108,20780,1033,0.952643,0.982295,0.223816,0.982295,0.776184,0.364566,0.959123,1.02416,0.0015
71,5992,108,20778,1035,0.952551,0.982295,0.223833,0.982295,0.776167,0.364588,0.959051,1.024236,0.001534
72,5992,108,20777,1036,0.952505,0.982295,0.223841,0.982295,0.776159,0.364599,0.959016,1.024274,0.001534
73,5992,108,20776,1037,0.95246,0.982295,0.223849,0.982295,0.776151,0.36461,0.95898,1.024313,0.001538
74,5991,109,20776,1037,0.95246,0.982131,0.22382,0.982131,0.77618,0.36456,0.958944,1.02418,0.001562
75,5991,109,20775,1038,0.952414,0.982131,0.223829,0.982131,0.776171,0.364571,0.958908,1.024218,0.001566
76,5991,109,20774,1039,0.952368,0.982131,0.223837,0.982131,0.776163,0.364582,0.958872,1.024257,0.001602
77,5991,109,20773,1040,0.952322,0.982131,0.223845,0.982131,0.776155,0.364593,0.958836,1.024295,0.001602
78,5991,109,20772,1041,0.952276,0.982131,0.223854,0.982131,0.776146,0.364605,0.958801,1.024333,0.001628
79,5991,109,20771,1042,0.95223,0.982131,0.223862,0.982131,0.776138,0.364616,0.958765,1.024371,0.001667
80,5991,109,20770,1043,0.952184,0.982131,0.223871,0.982131,0.776129,0.364627,0.958729,1.02441,0.001667
81,5990,110,20770,1043,0.952184,0.981967,0.223842,0.981967,0.776158,0.364577,0.958693,1.024277,0.001667
82,5990,110,20762,1051,0.951818,0.981967,0.223908,0.981967,0.776092,0.364666,0.958406,1.024583,0.001699
83,5990,110,20761,1052,0.951772,0.981967,0.223917,0.981967,0.776083,0.364677,0.958371,1.024622,0.001735
84,5990,110,20760,1053,0.951726,0.981967,0.223925,0.981967,0.776075,0.364688,0.958335,1.02466,0.001765
85,5990,110,20759,1054,0.95168,0.981967,0.223934,0.981967,0.776066,0.364699,0.958299,1.024698,0.001765
86,5990,110,20758,1055,0.951634,0.981967,0.223942,0.981967,0.776058,0.36471,0.958263,1.024736,0.001797
87,5990,110,20757,1056,0.951589,0.981967,0.22395,0.981967,0.77605,0.364721,0.958227,1.024775,0.0018
88,5990,110,20756,1057,0.951543,0.981967,0.223959,0.981967,0.776041,0.364732,0.958192,1.024813,0.001818
89,5990,110,20755,1058,0.951497,0.981967,0.223967,0.981967,0.776033,0.364743,0.958156,1.024851,0.001818
90,5989,111,20751,1062,0.951313,0.981803,0.223972,0.981803,0.776028,0.364738,0.957977,1.024872,0.001818
91,5988,112,20751,1062,0.951313,0.981639,0.223943,0.981639,0.776057,0.364688,0.957941,1.024739,0.001845
92,5988,112,20750,1063,0.951268,0.981639,0.223951,0.981639,0.776049,0.364699,0.957905,1.024777,0.001845
93,5988,112,20749,1064,0.951222,0.981639,0.223959,0.981639,0.776041,0.364711,0.957869,1.024816,0.001875
94,5988,112,20748,1065,0.951176,0.981639,0.223968,0.981639,0.776032,0.364722,0.957833,1.024854,0.001895
95,5988,112,20746,1067,0.951084,0.981639,0.223984,0.981639,0.776016,0.364744,0.957762,1.024931,0.001909
96,5988,112,20745,1068,0.951038,0.981639,0.223993,0.981639,0.776007,0.364755,0.957726,1.024969,0.001914
97,5988,112,20744,1069,0.950993,0.981639,0.224001,0.981639,0.775999,0.364766,0.95769,1.025007,0.001915
98,5988,112,20743,1070,0.950947,0.981639,0.22401,0.981639,0.77599,0.364777,0.957654,1.025046,0.001935
99,5988,112,20740,1073,0.950809,0.981639,0.224035,0.981639,0.775965,0.364811,0.957547,1.025161,0.002
100,5987,113,20735,1078,0.95058,0.981475,0.224048,0.981475,0.775952,0.364816,0.957332,1.02522,0.002
101,5987,113,20732,1081,0.950442,0.981475,0.224073,0.981475,0.775927,0.36485,0.957224,1.025335,0.002006
102,5987,113,20731,1082,0.950397,0.981475,0.224081,0.981475,0.775919,0.364861,0.957188,1.025373,0.00203
103,5987,113,20730,1083,0.950351,0.981475,0.22409,0.981475,0.77591,0.364872,0.957153,1.025412,0.002037
104,5987,113,20729,1084,0.950305,0.981475,0.224098,0.981475,0.775902,0.364883,0.957117,1.02545,0.002041
105,5987,113,20728,1085,0.950259,0.981475,0.224106,0.981475,0.775894,0.364894,0.957081,1.025488,0.00205
106,5987,113,20727,1086,0.950213,0.981475,0.224115,0.981475,0.775885,0.364905,0.957045,1.025527,0.002051
107,5986,114,20726,1087,0.950167,0.981311,0.224094,0.981311,0.775906,0.364867,0.956973,1.025432,0.002055
108,5986,114,20725,1088,0.950121,0.981311,0.224102,0.981311,0.775898,0.364878,0.956938,1.025471,0.002105
109,5986,114,20724,1089,0.950076,0.981311,0.224111,0.981311,0.775889,0.364889,0.956902,1.025509,0.002111
110,5986,114,20722,1091,0.949984,0.981311,0.224128,0.981311,0.775872,0.364911,0.95683,1.025586,0.002122
111,5986,114,20720,1093,0.949892,0.981311,0.224144,0.981311,0.775856,0.364933,0.956758,1.025663,0.002174
112,5986,114,20719,1094,0.949846,0.981311,0.224153,0.981311,0.775847,0.364944,0.956723,1.025701,0.002179
113,5986,114,20718,1095,0.949801,0.981311,0.224161,0.981311,0.775839,0.364955,0.956687,1.025739,0.002189
114,5986,114,20717,1096,0.949755,0.981311,0.22417,0.981311,0.77583,0.364967,0.956651,1.025778,0.002192
115,5986,114,20716,1097,0.949709,0.981311,0.224178,0.981311,0.775822,0.364978,0.956615,1.025816,0.002222
116,5986,114,20715,1098,0.949663,0.981311,0.224186,0.981311,0.775814,0.364989,0.956579,1.025855,0.002239
117,5986,114,20714,1099,0.949617,0.981311,0.224195,0.981311,0.775805,0.365,0.956544,1.025893,0.00225
118,5986,114,20713,1100,0.949571,0.981311,0.224203,0.981311,0.775797,0.365011,0.956508,1.025932,0.00227
119,5985,115,20713,1100,0.949571,0.981148,0.224174,0.981148,0.775826,0.364961,0.956472,1.025799,0.002308
120,5984,116,20713,1100,0.949571,0.980984,0.224145,0.980984,0.775855,0.364911,0.956436,1.025666,0.002308
121,5983,117,20712,1101,0.949526,0.98082,0.224124,0.98082,0.775876,0.364873,0.956364,1.025571,0.002333
122,5983,117,20711,1102,0.94948,0.98082,0.224133,0.98082,0.775867,0.364884,0.956329,1.025609,0.002353
123,5983,117,20710,1103,0.949434,0.98082,0.224141,0.98082,0.775859,0.364895,0.956293,1.025648,0.002381
124,5983,117,20709,1104,0.949388,0.98082,0.22415,0.98082,0.77585,0.364906,0.956257,1.025686,0.002417
125,5983,117,20708,1105,0.949342,0.98082,0.224158,0.98082,0.775842,0.364917,0.956221,1.025725,0.002424
126,5983,117,20707,1106,0.949296,0.98082,0.224166,0.98082,0.775834,0.364928,0.956185,1.025763,0.002443
127,5983,117,20706,1107,0.94925,0.98082,0.224175,0.98082,0.775825,0.364939,0.956149,1.025802,0.002468
128,5983,117,20705,1108,0.949205,0.98082,0.224183,0.98082,0.775817,0.364951,0.956114,1.02584,0.002472
129,5983,117,20704,1109,0.949159,0.98082,0.224192,0.98082,0.775808,0.364962,0.956078,1.025878,0.0025
130,5983,117,20701,1112,0.949021,0.98082,0.224217,0.98082,0.775783,0.364995,0.95597,1.025994,0.0025
131,5982,118,20701,1112,0.949021,0.980656,0.224188,0.980656,0.775812,0.364945,0.955935,1.025861,0.0025
132,5982,118,20699,1114,0.94893,0.980656,0.224204,0.980656,0.775796,0.364968,0.955863,1.025938,0.002504
133,5982,118,20698,1115,0.948884,0.980656,0.224213,0.980656,0.775787,0.364979,0.955827,1.025976,0.002529
134,5982,118,20696,1117,0.948792,0.980656,0.22423,0.980656,0.77577,0.365001,0.955755,1.026053,0.002529
135,5982,118,20695,1118,0.948746,0.980656,0.224238,0.980656,0.775762,0.365012,0.95572,1.026092,0.002563
136,5982,118,20694,1119,0.9487,0.980656,0.224247,0.980656,0.775753,0.365023,0.955684,1.02613,0.002568
137,5982,118,20693,1120,0.948654,0.980656,0.224255,0.980656,0.775745,0.365034,0.955648,1.026168,0.002576
138,5982,118,20692,1121,0.948609,0.980656,0.224263,0.980656,0.775737,0.365045,0.955612,1.026207,0.002591
139,5982,118,20691,1122,0.948563,0.980656,0.224272,0.980656,0.775728,0.365057,0.955576,1.026245,0.002661
140,5982,118,20690,1123,0.948517,0.980656,0.22428,0.980656,0.77572,0.365068,0.95554,1.026284,0.002679
141,5982,118,20689,1124,0.948471,0.980656,0.224289,0.980656,0.775711,0.365079,0.955505,1.026322,0.002685
142,5982,118,20688,1125,0.948425,0.980656,0.224297,0.980656,0.775703,0.36509,0.955469,1.026361,0.002687
143,5982,118,20687,1126,0.948379,0.980656,0.224305,0.980656,0.775695,0.365101,0.955433,1.026399,0.002714
144,5981,119,20686,1127,0.948334,0.980492,0.224285,0.980492,0.775715,0.365062,0.955361,1.026305,0.00272
145,5981,119,20685,1128,0.948288,0.980492,0.224293,0.980492,0.775707,0.365074,0.955325,1.026343,0.002807
146,5981,119,20684,1129,0.948242,0.980492,0.224302,0.980492,0.775698,0.365085,0.95529,1.026382,0.00283
147,5980,120,20684,1129,0.948242,0.980328,0.224272,0.980328,0.775728,0.365035,0.955254,1.026249,0.002857
148,5980,120,20683,1130,0.948196,0.980328,0.224281,0.980328,0.775719,0.365046,0.955218,1.026287,0.002857
149,5980,120,20682,1131,0.94815,0.980328,0.224289,0.980328,0.775711,0.365057,0.955182,1.026326,0.002857
150,5980,120,20674,1139,0.947783,0.980328,0.224357,0.980328,0.775643,0.365146,0.954896,1.026634,0.002857
151,5980,120,20673,1140,0.947738,0.980328,0.224365,0.980328,0.775635,0.365157,0.95486,1.026672,0.002879
152,5980,120,20672,1141,0.947692,0.980328,0.224373,0.980328,0.775627,0.365169,0.954824,1.026711,0.00289
153,5980,120,20671,1142,0.947646,0.980328,0.224382,0.980328,0.775618,0.36518,0.954788,1.026749,0.002909
154,5980,120,20670,1143,0.9476,0.980328,0.22439,0.980328,0.77561,0.365191,0.954752,1.026788,0.002917
155,5980,120,20669,1144,0.947554,0.980328,0.224399,0.980328,0.775601,0.365202,0.954716,1.026826,0.002941
156,5980,120,20668,1145,0.947508,0.980328,0.224407,0.980328,0.775593,0.365213,0.954681,1.026865,0.002982
157,5980,120,20667,1146,0.947463,0.980328,0.224416,0.980328,0.775584,0.365224,0.954645,1.026903,0.002984
158,5980,120,20666,1147,0.947417,0.980328,0.224424,0.980328,0.775576,0.365235,0.954609,1.026942,0.002993
159,5980,120,20665,1148,0.947371,0.980328,0.224432,0.980328,0.775568,0.365247,0.954573,1.02698,0.003
160,5980,120,20662,1151,0.947233,0.980328,0.224458,0.980328,0.775542,0.36528,0.954466,1.027096,0.003
161,5980,120,20661,1152,0.947187,0.980328,0.224466,0.980328,0.775534,0.365291,0.95443,1.027135,0.003026
162,5980,120,20659,1154,0.947096,0.980328,0.224483,0.980328,0.775517,0.365314,0.954358,1.027212,0.003077
163,5980,120,20658,1155,0.94705,0.980328,0.224491,0.980328,0.775509,0.365325,0.954322,1.02725,0.003088
164,5980,120,20657,1156,0.947004,0.980328,0.2245,0.980328,0.7755,0.365336,0.954287,1.027289,0.003111
165,5980,120,20656,1157,0.946958,0.980328,0.224508,0.980328,0.775492,0.365347,0.954251,1.027327,0.003125
166,5980,120,20655,1158,0.946912,0.980328,0.224517,0.980328,0.775483,0.365358,0.954215,1.027366,0.003125
167,5980,120,20654,1159,0.946867,0.980328,0.224525,0.980328,0.775475,0.365369,0.954179,1.027405,0.003143
168,5980,120,20653,1160,0.946821,0.980328,0.224533,0.980328,0.775467,0.365381,0.954143,1.027443,0.003145
169,5980,120,20652,1161,0.946775,0.980328,0.224542,0.980328,0.775458,0.365392,0.954107,1.027482,0.003191
170,5980,120,20651,1162,0.946729,0.980328,0.22455,0.980328,0.77545,0.365403,0.954072,1.02752,0.003211
171,5980,120,20650,1163,0.946683,0.980328,0.224559,0.980328,0.775441,0.365414,0.954036,1.027559,0.003223
172,5980,120,20649,1164,0.946637,0.980328,0.224567,0.980328,0.775433,0.365425,0.954,1.027597,0.003237
173,5980,120,20648,1165,0.946591,0.980328,0.224576,0.980328,0.775424,0.365436,0.953964,1.027636,0.003247
174,5980,120,20647,1166,0.946546,0.980328,0.224584,0.980328,0.775416,0.365447,0.953928,1.027675,0.003329
175,5980,120,20646,1167,0.9465,0.980328,0.224593,0.980328,0.775407,0.365459,0.953892,1.027713,0.003333
176,5980,120,20643,1170,0.946362,0.980328,0.224618,0.980328,0.775382,0.365492,0.953785,1.027829,0.003333
177,5979,121,20632,1181,0.945858,0.980164,0.224682,0.980164,0.775318,0.365565,0.953355,1.028121,0.003333
178,5979,121,20630,1183,0.945766,0.980164,0.224698,0.980164,0.775302,0.365587,0.953283,1.028198,0.003333
179,5979,121,20628,1185,0.945675,0.980164,0.224715,0.980164,0.775285,0.36561,0.953212,1.028275,0.003342
180,5979,121,20627,1186,0.945629,0.980164,0.224724,0.980164,0.775276,0.365621,0.953176,1.028314,0.003348
181,5979,121,20626,1187,0.945583,0.980164,0.224732,0.980164,0.775268,0.365632,0.95314,1.028352,0.003367
182,5979,121,20624,1189,0.945491,0.980164,0.224749,0.980164,0.775251,0.365655,0.953068,1.02843,0.003393
183,5979,121,20623,1190,0.945445,0.980164,0.224758,0.980164,0.775242,0.365666,0.953033,1.028468,0.003429
184,5979,121,20622,1191,0.9454,0.980164,0.224766,0.980164,0.775234,0.365677,0.952997,1.028507,0.003438
185,5979,121,20621,1192,0.945354,0.980164,0.224774,0.980164,0.775226,0.365688,0.952961,1.028546,0.003477
186,5978,122,20620,1193,0.945308,0.98,0.224754,0.98,0.775246,0.365649,0.952889,1.028451,0.003487
187,5978,122,20619,1194,0.945262,0.98,0.224762,0.98,0.775238,0.36566,0.952854,1.02849,0.003497
188,5978,122,20618,1195,0.945216,0.98,0.224771,0.98,0.775229,0.365672,0.952818,1.028528,0.0035
189,5978,122,20617,1196,0.94517,0.98,0.224779,0.98,0.775221,0.365683,0.952782,1.028567,0.003515
190,5978,122,20616,1197,0.945124,0.98,0.224788,0.98,0.775212,0.365694,0.952746,1.028606,0.003529
191,5978,122,20615,1198,0.945079,0.98,0.224796,0.98,0.775204,0.365705,0.95271,1.028644,0.003542
192,5977,123,20614,1199,0.945033,0.979836,0.224775,0.979836,0.775225,0.365666,0.952639,1.02855,0.003544
193,5976,124,20614,1199,0.945033,0.979672,0.224746,0.979672,0.775254,0.365616,0.952603,1.028416,0.003545
194,5976,124,20613,1200,0.944987,0.979672,0.224755,0.979672,0.775245,0.365628,0.952567,1.028455,0.003571
195,5976,124,20612,1201,0.944941,0.979672,0.224763,0.979672,0.775237,0.365639,0.952531,1.028494,0.003611
196,5976,124,20610,1203,0.944849,0.979672,0.22478,0.979672,0.77522,0.365661,0.952459,1.028571,0.00363
197,5976,124,20609,1204,0.944804,0.979672,0.224788,0.979672,0.775212,0.365672,0.952424,1.02861,0.003636
198,5976,124,20608,1205,0.944758,0.979672,0.224797,0.979672,0.775203,0.365684,0.952388,1.028648,0.003636
199,5975,125,20608,1205,0.944758,0.979508,0.224768,0.979508,0.775232,0.365634,0.952352,1.028515,0.003643
200,5975,125,20607,1206,0.944712,0.979508,0.224776,0.979508,0.775224,0.365645,0.952316,1.028554,0.003662
201,5975,125,20606,1207,0.944666,0.979508,0.224785,0.979508,0.775215,0.365656,0.95228,1.028592,0.003667
202,5975,125,20605,1208,0.94462,0.979508,0.224793,0.979508,0.775207,0.365667,0.952244,1.028631,0.003684
203,5974,126,20605,1208,0.94462,0.979344,0.224764,0.979344,0.775236,0.365617,0.952209,1.028498,0.003684
204,5974,126,20604,1209,0.944574,0.979344,0.224772,0.979344,0.775228,0.365628,0.952173,1.028536,0.003698
205,5974,126,20603,1210,0.944528,0.979344,0.224781,0.979344,0.775219,0.365639,0.952137,1.028575,0.003699
206,5974,126,20602,1211,0.944483,0.979344,0.224789,0.979344,0.775211,0.365651,0.952101,1.028614,0.003705
207,5974,126,20601,1212,0.944437,0.979344,0.224798,0.979344,0.775202,0.365662,0.952065,1.028652,0.003736
208,5974,126,20600,1213,0.944391,0.979344,0.224806,0.979344,0.775194,0.365673,0.95203,1.028691,0.00375
209,5974,126,20597,1216,0.944253,0.979344,0.224832,0.979344,0.775168,0.365707,0.951922,1.028807,0.003759
210,5974,126,20596,1217,0.944208,0.979344,0.22484,0.979344,0.77516,0.365718,0.951886,1.028846,0.003772
211,5974,126,20595,1218,0.944162,0.979344,0.224849,0.979344,0.775151,0.365729,0.95185,1.028885,0.003802
212,5974,126,20594,1219,0.944116,0.979344,0.224857,0.979344,0.775143,0.36574,0.951815,1.028923,0.003828
213,5974,126,20593,1220,0.94407,0.979344,0.224865,0.979344,0.775135,0.365751,0.951779,1.028962,0.003833
214,5974,126,20592,1221,0.944024,0.979344,0.224874,0.979344,0.775126,0.365763,0.951743,1.029001,0.003842
215,5973,127,20592,1221,0.944024,0.97918,0.224845,0.97918,0.775155,0.365713,0.951707,1.028867,0.003846
216,5972,128,20592,1221,0.944024,0.979016,0.224816,0.979016,0.775184,0.365663,0.951671,1.028734,0.00388
217,5972,128,20591,1222,0.943978,0.979016,0.224824,0.979016,0.775176,0.365674,0.951635,1.028773,0.003882
218,5971,129,20588,1225,0.943841,0.978852,0.22482,0.978852,0.77518,0.365657,0.951492,1.028755,0.003887
219,5971,129,20587,1226,0.943795,0.978852,0.224829,0.978852,0.775171,0.365668,0.951456,1.028794,0.003949
220,5971,129,20586,1227,0.943749,0.978852,0.224837,0.978852,0.775163,0.36568,0.95142,1.028833,0.003961
221,5971,129,20585,1228,0.943703,0.978852,0.224846,0.978852,0.775154,0.365691,0.951385,1.028871,0.003968
222,5970,130,20585,1228,0.943703,0.978689,0.224816,0.978689,0.775184,0.365641,0.951349,1.028738,0.003969
223,5970,130,20584,1229,0.943657,0.978689,0.224825,0.978689,0.775175,0.365652,0.951313,1.028777,0.00398
224,5970,130,20583,1230,0.943612,0.978689,0.224833,0.978689,0.775167,0.365663,0.951277,1.028815,0.004
225,5970,130,20580,1233,0.943474,0.978689,0.224859,0.978689,0.775141,0.365697,0.95117,1.028932,0.004
226,5970,130,20579,1234,0.943428,0.978689,0.224867,0.978689,0.775133,0.365708,0.951134,1.02897,0.00402
227,5970,130,20578,1235,0.943382,0.978689,0.224876,0.978689,0.775124,0.365719,0.951098,1.029009,0.00404
228,5970,130,20577,1236,0.943337,0.978689,0.224884,0.978689,0.775116,0.36573,0.951062,1.029048,0.004051
229,5970,130,20575,1238,0.943245,0.978689,0.224901,0.978689,0.775099,0.365753,0.950991,1.029125,0.004112
230,5970,130,20574,1239,0.943199,0.978689,0.22491,0.978689,0.77509,0.365764,0.950955,1.029164,0.004144
231,5970,130,20573,1240,0.943153,0.978689,0.224918,0.978689,0.775082,0.365775,0.950919,1.029203,0.00416
232,5970,130,20572,1241,0.943107,0.978689,0.224927,0.978689,0.775073,0.365786,0.950883,1.029242,0.00419
233,5970,130,20571,1242,0.943061,0.978689,0.224935,0.978689,0.775065,0.365798,0.950847,1.02928,0.004211
234,5970,130,20570,1243,0.943016,0.978689,0.224943,0.978689,0.775057,0.365809,0.950811,1.029319,0.004269
235,5970,130,20569,1244,0.94297,0.978689,0.224952,0.978689,0.775048,0.36582,0.950776,1.029358,0.004286
236,5970,130,20568,1245,0.942924,0.978689,0.22496,0.978689,0.77504,0.365831,0.95074,1.029397,0.004326
237,5970,130,20567,1246,0.942878,0.978689,0.224969,0.978689,0.775031,0.365842,0.950704,1.029436,0.004333
238,5970,130,20566,1247,0.942832,0.978689,0.224977,0.978689,0.775023,0.365854,0.950668,1.029474,0.004352
239,5970,130,20565,1248,0.942786,0.978689,0.224986,0.978689,0.775014,0.365865,0.950632,1.029513,0.004371
240,5969,131,20564,1249,0.942741,0.978525,0.224965,0.978525,0.775035,0.365826,0.950561,1.029418,0.004417
